timestamp,machine_id,machine_type,welding_current_amps,welding_voltage_volts,electrode_temperature_celsius,cooling_system_temperature_celsius,alignment_accuracy_mm,vacuum_pressure_kpa,cell_voltage_uniformity_ratio,insulation_resistance_mohm,leakage_current_ma,electrode_wear_percent,operation_time_hours,batteries_produced,status,time_since_maintenance,hour_of_day,day_of_week
2025-03-06T23:19:48.014313,BAT-ASM-8a8c5b,BATTERY_ASSEMBLY,150.0,28.0,361.71,36.83,0.05,55.0,0.98,500.0,0.02,0.0,0.07,1,NORMAL,0.07,23,3
2025-03-06T23:19:48.014817,BAT-ASM-cb1136,BATTERY_ASSEMBLY,150.6,27.4,314.36,22.51,0.045,53.78,0.98,500.0,0.02,-1.5,0.09,1,NORMAL,0.09,23,3
2025-03-06T23:19:48.014817,BAT-ASM-6dbfd2,BATTERY_ASSEMBLY,145.75,28.46,320.84,22.08,0.045,54.27,0.98,499.99,0.02,-0.48,0.08,1,NORMAL,0.08,23,3
2025-03-06T23:19:48.014817,BAT-ASM-44f453,BATTERY_ASSEMBLY,152.89,28.59,314.51,24.5,0.068,53.75,0.98,499.99,0.02,0.78,0.06,0,NORMAL,0.06,23,3
2025-03-07T00:19:48.014817,BAT-ASM-8a8c5b,BATTERY_ASSEMBLY,150.1,28.25,314.76,26.18,0.043,54.74,0.98,500.0,0.02,-2.47,0.17,2,NORMAL,0.17,0,4
2025-03-07T00:19:48.014817,BAT-ASM-cb1136,BATTERY_ASSEMBLY,152.71,28.89,327.32,25.79,0.033,53.52,0.98,499.98,0.02,-1.09,0.19,2,NORMAL,0.19,0,4
2025-03-07T00:19:48.014817,BAT-ASM-6dbfd2,BATTERY_ASSEMBLY,150.69,27.03,324.7,27.98,0.039,55.55,0.98,499.97,0.02,1.1,0.16,2,NORMAL,0.16,0,4
2025-03-07T00:19:48.014817,BAT-ASM-44f453,BATTERY_ASSEMBLY,146.61,28.45,315.66,25.24,0.038,56.1,0.98,500.0,0.02,-2.16,0.15,1,NORMAL,0.15,0,4
2025-03-07T01:19:48.014817,BAT-ASM-8a8c5b,BATTERY_ASSEMBLY,133.08,25.95,350.51,26.18,0.043,54.74,0.98,500.0,0.02,-2.47,0.29,3,NORMAL,0.29,1,4
2025-03-07T01:19:48.014817,BAT-ASM-cb1136,BATTERY_ASSEMBLY,148.65,27.08,321.86,25.62,0.035,56.06,0.98,500.0,0.02,5.03,0.29,3,NORMAL,0.29,1,4
2025-03-07T01:19:48.014817,BAT-ASM-6dbfd2,BATTERY_ASSEMBLY,150.04,27.83,328.62,23.36,0.054,56.97,0.98,499.98,0.02,-0.5,0.24,3,NORMAL,0.24,1,4
2025-03-07T01:19:48.014817,BAT-ASM-44f453,BATTERY_ASSEMBLY,152.63,27.43,318.53,22.1,0.068,55.37,0.98,499.98,0.02,4.2,0.19,1,NORMAL,0.19,1,4
2025-03-07T02:19:48.014817,BAT-ASM-8a8c5b,BATTERY_ASSEMBLY,150.98,27.57,317.8,25.3,0.062,56.48,0.98,499.95,0.02,-3.97,0.33,3,NORMAL,0.33,2,4
2025-03-07T02:19:48.014817,BAT-ASM-cb1136,BATTERY_ASSEMBLY,148.54,27.27,323.51,22.24,0.036,53.53,0.98,499.94,0.02,4.68,0.41,4,NORMAL,0.41,2,4
2025-03-07T02:19:48.014817,BAT-ASM-6dbfd2,BATTERY_ASSEMBLY,151.25,28.03,323.48,25.56,0.066,53.74,0.98,499.93,0.02,3.82,0.35,5,NORMAL,0.35,2,4
2025-03-07T02:19:48.014817,BAT-ASM-44f453,BATTERY_ASSEMBLY,149.4,27.39,328.36,27.3,0.061,54.27,0.98,499.99,0.02,-1.69,0.29,2,NORMAL,0.29,2,4
2025-03-07T03:19:48.014817,BAT-ASM-8a8c5b,BATTERY_ASSEMBLY,149.1,28.02,325.38,22.19,0.031,53.7,0.98,499.93,0.02,-3.36,0.41,4,NORMAL,0.41,3,4
2025-03-07T03:19:48.014817,BAT-ASM-cb1136,BATTERY_ASSEMBLY,149.06,28.62,312.47,24.53,0.037,55.4,0.98,499.94,0.02,-0.09,0.47,5,NORMAL,0.47,3,4
2025-03-07T03:19:48.014817,BAT-ASM-6dbfd2,BATTERY_ASSEMBLY,146.19,28.37,318.65,25.8,0.052,56.8,0.98,499.98,0.02,4.26,0.44,6,NORMAL,0.44,3,4
2025-03-07T03:19:48.014817,BAT-ASM-44f453,BATTERY_ASSEMBLY,152.43,27.49,327.42,24.82,0.038,54.1,0.98,499.97,0.02,-0.77,0.34,3,NORMAL,0.34,3,4
2025-03-07T04:19:48.014817,BAT-ASM-8a8c5b,BATTERY_ASSEMBLY,150.72,28.49,322.29,26.14,0.06,53.33,0.98,499.93,0.02,0.3,0.47,4,NORMAL,0.47,4,4
2025-03-07T04:19:48.014817,BAT-ASM-cb1136,BATTERY_ASSEMBLY,147.15,28.94,318.9,25.41,0.034,54.28,0.9799,499.92,0.02,-2.64,0.56,6,NORMAL,0.56,4,4
2025-03-07T04:19:48.014817,BAT-ASM-6dbfd2,BATTERY_ASSEMBLY,154.42,27.19,327.89,22.61,0.054,55.08,0.98,499.94,0.02,2.07,0.53,7,NORMAL,0.53,4,4
2025-03-07T04:19:48.014817,BAT-ASM-44f453,BATTERY_ASSEMBLY,154.05,27.48,318.75,22.72,0.042,56.42,0.98,499.97,0.02,3.37,0.45,4,NORMAL,0.45,4,4
2025-03-07T05:19:48.014817,BAT-ASM-8a8c5b,BATTERY_ASSEMBLY,149.56,27.88,312.9,23.91,0.053,55.94,0.98,499.96,0.02,3.97,0.56,5,NORMAL,0.56,5,4
2025-03-07T05:19:48.014817,BAT-ASM-cb1136,BATTERY_ASSEMBLY,148.46,28.77,324.84,27.92,0.066,54.53,0.98,499.93,0.02,3.63,0.61,6,NORMAL,0.61,5,4
2025-03-07T05:19:48.014817,BAT-ASM-6dbfd2,BATTERY_ASSEMBLY,148.99,27.42,326.17,23.65,0.045,53.38,0.9799,499.95,0.02,0.41,0.59,8,NORMAL,0.59,5,4
2025-03-07T05:19:48.014817,BAT-ASM-44f453,BATTERY_ASSEMBLY,147.47,27.12,324.86,26.13,0.043,54.2,0.98,499.91,0.02,-1.76,0.53,5,NORMAL,0.53,5,4
2025-03-07T06:19:48.014817,BAT-ASM-8a8c5b,BATTERY_ASSEMBLY,146.98,28.76,311.23,26.5,0.06,55.33,0.98,499.99,0.02,-0.39,0.67,6,NORMAL,0.67,6,4
