timestamp,machine_id,machine_type,spindle_speed_rpm,cutting_force_n,motor_temperature_celsius,coolant_temperature_celsius,coolant_flow_rate_l_min,vibration_mm_per_s,tool_wear_percent,operation_time_hours,parts_produced,status,time_since_maintenance,hour_of_day,day_of_week
2025-03-06T11:28:33.640133,CNC-cd1809,CNC_MACHINE,4999.74,110.19,69.36,26.31,3.52,0.503,0.94,0.15,2,NORMAL,0.15,11,3
2025-03-06T11:28:33.640133,CNC-714ac9,CNC_MACHINE,4943.64,121.83,68.33,26.46,3.58,0.348,-4.88,0.13,2,NORMAL,0.13,11,3
2025-03-06T11:28:33.640133,CNC-2645fa,CNC_MACHINE,4997.96,124.78,69.85,26.23,3.4,0.299,-3.99,0.17,2,NORMAL,0.17,11,3
2025-03-06T11:28:33.640133,CNC-601eea,CNC_MACHINE,5095.19,110.13,65.52,23.72,3.54,0.255,-0.24,0.11,1,NORMAL,0.11,11,3
2025-03-06T12:28:33.640133,CNC-cd1809,CNC_MACHINE,4904.48,116.96,72.74,26.69,3.45,0.486,-1.35,0.28,5,NORMAL,0.28,12,3
2025-03-06T12:28:33.640133,CNC-714ac9,CNC_MACHINE,5156.41,119.33,72.02,24.06,3.35,0.375,4.24,0.31,4,NORMAL,0.31,12,3
2025-03-06T12:28:33.640133,CNC-2645fa,CNC_MACHINE,4972.4,115.35,70.56,25.42,3.5,0.545,-3.32,0.32,3,NORMAL,0.32,12,3
2025-03-06T12:28:33.640133,CNC-601eea,CNC_MACHINE,4814.47,117.86,65.2,25.62,3.43,0.384,-3.75,0.35,3,NORMAL,0.35,12,3
2025-03-06T13:28:33.640133,CNC-cd1809,CNC_MACHINE,4948.15,115.09,66.48,25.99,3.56,0.305,-3.92,0.5,8,NORMAL,0.5,13,3
2025-03-06T13:28:33.640133,CNC-714ac9,CNC_MACHINE,5163.87,121.63,68.08,23.93,3.54,0.437,-1.64,0.5,5,NORMAL,0.5,13,3
2025-03-06T13:28:33.640133,CNC-2645fa,CNC_MACHINE,4909.18,120.72,74.79,25.35,3.46,0.551,-2.27,0.5,4,NORMAL,0.5,13,3
2025-03-06T13:28:33.640133,CNC-601eea,CNC_MACHINE,5077.3,121.56,68.67,25.44,3.42,0.384,1.68,0.58,5,NORMAL,0.58,13,3
2025-03-06T14:28:33.640133,CNC-cd1809,CNC_MACHINE,5057.59,121.03,67.99,24.71,3.37,0.442,-2.43,0.63,9,NORMAL,0.63,14,3
2025-03-06T14:28:33.640133,CNC-714ac9,CNC_MACHINE,4829.89,117.63,69.11,25.48,3.58,0.421,1.67,0.73,7,NORMAL,0.73,14,3
2025-03-06T14:28:33.640133,CNC-2645fa,CNC_MACHINE,4968.13,114.04,74.38,24.32,3.39,0.477,0.34,0.71,5,NORMAL,0.71,14,3
2025-03-06T14:28:33.640133,CNC-601eea,CNC_MACHINE,4960.82,113.25,65.26,23.29,3.54,0.476,-3.62,0.75,6,NORMAL,0.75,14,3
2025-03-06T15:28:33.640133,CNC-cd1809,CNC_MACHINE,5178.85,112.42,65.84,24.69,3.4,0.534,-3.77,0.74,10,NORMAL,0.74,15,3
2025-03-06T15:28:33.640133,CNC-714ac9,CNC_MACHINE,5085.55,123.06,71.11,24.09,3.33,0.556,-2.35,0.84,8,NORMAL,0.84,15,3
2025-03-06T15:28:33.640133,CNC-2645fa,CNC_MACHINE,5112.11,119.2,67.0,24.58,3.31,0.205,-3.35,0.92,6,NORMAL,0.92,15,3
2025-03-06T15:28:33.640133,CNC-601eea,CNC_MACHINE,5193.15,111.81,67.63,24.55,3.35,0.3,-3.94,0.99,7,NORMAL,0.99,15,3
2025-03-06T16:28:33.640133,CNC-cd1809,CNC_MACHINE,5087.04,116.18,71.36,25.84,3.6,0.472,0.52,0.92,11,NORMAL,0.92,16,3
2025-03-06T16:28:33.640133,CNC-714ac9,CNC_MACHINE,4904.96,125.53,68.63,25.15,3.7,0.278,-4.3,1.03,10,NORMAL,1.03,16,3
2025-03-06T16:28:33.640133,CNC-2645fa,CNC_MACHINE,5093.11,115.35,74.79,24.33,3.55,0.414,1.82,1.03,7,NORMAL,1.03,16,3
2025-03-06T16:28:33.640133,CNC-601eea,CNC_MACHINE,4941.9,129.0,67.29,23.69,3.46,0.281,4.77,1.18,9,NORMAL,1.18,16,3
2025-03-06T17:28:33.640133,CNC-cd1809,CNC_MACHINE,5194.07,126.21,67.26,25.71,3.67,0.396,0.75,1.04,12,NORMAL,1.04,17,3
2025-03-06T17:28:33.640133,CNC-714ac9,CNC_MACHINE,4964.32,125.95,71.37,25.13,3.67,0.415,-0.06,1.17,13,NORMAL,1.17,17,3
2025-03-06T17:28:33.640133,CNC-2645fa,CNC_MACHINE,5088.82,120.26,67.42,26.44,3.66,0.553,-3.35,1.28,10,NORMAL,1.28,17,3
2025-03-06T17:28:33.640133,CNC-601eea,CNC_MACHINE,4945.66,113.84,73.52,23.06,3.65,0.234,-1.98,1.34,11,NORMAL,1.34,17,3
2025-03-06T18:28:33.640133,CNC-cd1809,CNC_MACHINE,4834.82,116.73,70.16,25.31,3.57,0.55,4.13,1.26,13,NORMAL,1.26,18,3
2025-03-06T18:28:33.640133,CNC-714ac9,CNC_MACHINE,4929.65,119.22,74.29,23.65,3.32,0.244,-2.99,1.35,16,NORMAL,1.35,18,3
2025-03-06T18:28:33.640133,CNC-2645fa,CNC_MACHINE,5028.55,124.33,74.44,26.27,3.42,0.421,0.74,1.36,13,NORMAL,1.36,18,3
2025-03-06T18:28:33.640133,CNC-601eea,CNC_MACHINE,5107.42,111.16,66.7,25.31,3.67,0.453,-2.88,1.54,13,NORMAL,1.54,18,3
2025-03-06T19:28:33.640133,CNC-cd1809,CNC_MACHINE,4845.18,121.3,66.43,26.45,3.53,0.557,0.27,1.36,16,NORMAL,1.36,19,3
2025-03-06T19:28:33.640133,CNC-714ac9,CNC_MACHINE,5105.76,124.96,69.15,23.23,3.69,0.454,-4.11,1.47,18,NORMAL,1.47,19,3
2025-03-06T19:28:33.640133,CNC-2645fa,CNC_MACHINE,4886.15,121.97,65.66,24.33,3.65,0.558,-1.25,1.49,14,NORMAL,1.49,19,3
2025-03-06T19:28:33.640133,CNC-601eea,CNC_MACHINE,5063.63,122.92,74.79,25.74,3.47,0.5,3.5,1.69,15,NORMAL,1.69,19,3
2025-03-06T20:28:33.640133,CNC-cd1809,CNC_MACHINE,5550.33,121.3,66.43,26.45,3.53,0.557,0.27,1.5,17,NORMAL,1.5,20,3
2025-03-06T20:28:33.640133,CNC-714ac9,CNC_MACHINE,5149.9,121.75,73.87,25.38,3.4,0.202,-3.4,1.71,19,NORMAL,1.71,20,3
2025-03-06T20:28:33.640133,CNC-2645fa,CNC_MACHINE,4906.03,126.58,67.96,23.71,3.31,0.264,-2.22,1.64,16,NORMAL,1.64,20,3
2025-03-06T20:28:33.640133,CNC-601eea,CNC_MACHINE,5138.54,121.83,74.8,24.24,3.41,0.274,-4.01,1.91,17,NORMAL,1.91,20,3
2025-03-06T21:28:33.640133,CNC-cd1809,CNC_MACHINE,4911.83,116.96,72.75,26.37,3.57,0.509,4.61,1.59,20,NORMAL,1.59,21,3
2025-03-06T21:28:33.640133,CNC-714ac9,CNC_MACHINE,4821.9,115.48,67.83,26.92,3.39,0.575,-2.82,1.87,20,NORMAL,1.87,21,3
2025-03-06T21:28:33.640133,CNC-2645fa,CNC_MACHINE,4931.06,116.78,71.31,23.84,3.36,0.296,-0.86,1.88,19,NORMAL,1.88,21,3
2025-03-06T21:28:33.640133,CNC-601eea,CNC_MACHINE,4896.86,117.56,73.07,23.91,3.4,0.45,4.96,2.14,20,NORMAL,2.14,21,3
2025-03-06T22:28:33.640133,CNC-cd1809,CNC_MACHINE,4981.54,121.83,66.45,23.7,3.4,0.406,0.27,1.77,23,NORMAL,1.77,22,3
2025-03-06T22:28:33.640133,CNC-714ac9,CNC_MACHINE,4821.9,115.48,81.73,26.92,3.39,0.575,-2.82,2.11,21,NORMAL,2.11,22,3
2025-03-06T22:28:33.640133,CNC-2645fa,CNC_MACHINE,4931.06,116.78,71.31,23.84,3.36,1.323,-0.86,1.99,22,NORMAL,1.99,22,3
2025-03-06T22:28:33.640133,CNC-601eea,CNC_MACHINE,4900.49,124.21,74.57,25.23,3.61,0.264,-2.74,2.38,21,NORMAL,2.38,22,3
2025-03-06T23:28:33.640133,CNC-cd1809,CNC_MACHINE,4831.7,113.52,70.78,23.74,3.49,0.456,2.61,1.89,24,NORMAL,1.89,23,3
