timestamp,machine_id,machine_type,servo_motor_rpm,hydraulic_pressure_psi,temperature_celsius,vibration_mm_per_s,operation_time_hours,cycle_count,joint_wear_percent,status,time_since_maintenance,hour_of_day,day_of_week
2025-03-04T21:53:23.152754,ROB-ARM-11cb98,ROBOTIC_ARM,1238.11,1989.79,61.46,0.36,0.18,6,-3.64,NORMAL,0.18,21,1
2025-03-04T21:53:23.152754,ROB-ARM-5756d3,ROBOTIC_ARM,1184.58,2045.11,67.04,0.411,0.08,14,2.34,NORMAL,0.08,21,1
2025-03-04T21:53:23.152754,ROB-ARM-cb4fee,ROBOTIC_ARM,1184.22,2066.63,67.45,0.605,0.11,9,1.52,NORMAL,0.11,21,1
2025-03-04T21:53:23.152754,ROB-ARM-241e51,ROBOTIC_ARM,1200.0,2000.0,65.0,1.332,0.15,11,0.0,NORMAL,0.15,21,1
2025-03-04T22:53:23.152754,ROB-ARM-11cb98,ROBOTIC_ARM,1210.7,1958.09,61.36,0.591,0.3,15,1.91,NORMAL,0.3,22,1
2025-03-04T22:53:23.152754,ROB-ARM-5756d3,ROBOTIC_ARM,1204.21,2088.06,64.59,0.593,0.19,25,0.23,NORMAL,0.19,22,1
2025-03-04T22:53:23.152754,ROB-ARM-cb4fee,ROBOTIC_ARM,1169.46,1947.09,60.96,0.314,0.26,22,-2.04,NORMAL,0.26,22,1
2025-03-04T22:53:23.152754,ROB-ARM-241e51,ROBOTIC_ARM,1175.1,2034.58,67.07,0.342,0.2,20,-2.27,NORMAL,0.2,22,1
2025-03-04T23:53:23.152754,ROB-ARM-11cb98,ROBOTIC_ARM,1226.03,1952.26,64.62,0.321,0.49,23,-1.61,NORMAL,0.49,23,1
2025-03-04T23:53:23.152754,ROB-ARM-5756d3,ROBOTIC_ARM,1227.78,1946.15,62.56,0.511,0.37,38,-2.15,NORMAL,0.37,23,1
2025-03-04T23:53:23.152754,ROB-ARM-cb4fee,ROBOTIC_ARM,1152.94,2083.4,61.84,0.662,0.31,31,3.07,NORMAL,0.31,23,1
2025-03-04T23:53:23.152754,ROB-ARM-241e51,ROBOTIC_ARM,1150.08,2012.64,69.13,0.371,0.27,31,-4.93,NORMAL,0.27,23,1
2025-03-05T00:53:23.152754,ROB-ARM-11cb98,ROBOTIC_ARM,1243.09,2032.83,64.93,0.357,0.64,28,-2.57,NORMAL,0.64,0,2
2025-03-05T00:53:23.152754,ROB-ARM-5756d3,ROBOTIC_ARM,1227.78,2338.96,62.56,0.511,0.43,52,-2.15,NORMAL,0.43,0,2
